Skill,course_title,course_url
3D body scanning technologies,3D Printing and Additive Manufacturing,https://www.coursera.org/specializations/3d-printing-additive-manufacturing
3D lighting,3D Printing and Additive Manufacturing,https://www.coursera.org/specializations/3d-printing-additive-manufacturing
3D modelling,3D Printing and Additive Manufacturing,https://www.coursera.org/specializations/3d-printing-additive-manufacturing
3D printing process,3D Printing and Additive Manufacturing,https://www.coursera.org/specializations/3d-printing-additive-manufacturing
3D texturing,3D Printing and Additive Manufacturing,https://www.coursera.org/specializations/3d-printing-additive-manufacturing
ABAP,SAP Technology Consultant,https://www.coursera.org/professional-certificates/sap-technology-consultant
ABBYY FineReader,Tally Bookkeeper,https://www.coursera.org/professional-certificates/tally-bookkeeper
AJAX,Web Applications for Everybody,https://www.coursera.org/specializations/web-applications
APL,Large Language Model Operations (LLMOps),https://www.coursera.org/specializations/large-language-model-operations
ASP.NET,ASP.NET for Experienced Developers,https://www.coursera.org/specializations/asp-dot-net-experience
ATM systems,Google Cybersecurity,https://www.coursera.org/professional-certificates/google-cybersecurity
Absorb (learning management systems),Machine Learning,https://www.coursera.org/specializations/machine-learning-introduction
Active Learning,Machine Learning,https://www.coursera.org/specializations/machine-learning-introduction
Active Listening,Active Listening: Enhancing Communication Skills,https://www.coursera.org/learn/active-listening-enhancing-communication-skills
Adobe Illustrator,The Art of Visual Storytelling,https://www.coursera.org/specializations/the-art-of-visual-storytelling
Adobe Photoshop,The Art of Visual Storytelling,https://www.coursera.org/specializations/the-art-of-visual-storytelling
Adobe Photoshop Lightroom,Adobe Graphic Designer,https://www.coursera.org/professional-certificates/adobe-graphic-designer
Agile development,Introduction to Agile Development and Scrum,https://www.coursera.org/learn/agile-development-and-scrum
Agile project management,Agile Project Management,https://www.coursera.org/learn/agile-project-management
Aircrack (penetration testing tool),IBM Cybersecurity Analyst,https://www.coursera.org/professional-certificates/ibm-cybersecurity-analyst
Ajax Framework,Spring Framework,https://www.coursera.org/specializations/spring-framework
Analyzing Data or Information,Google Data Analytics,https://www.coursera.org/professional-certificates/google-data-analytics
